,MODIFIED_ZCTA,NEIGHBORHOOD_NAME,COVID_CASE_RATE_4WEEK,PCT_CHANGE_2WEEK,TESTING_RATE_4WEEK,PERCENT_POSITIVE_4WEEK,RISK
0,10001,Chelsea/NoMad/West Chelsea,0.36306244602602666,0.29666666666666663,0.6735714353864048,0.19999999999999998,1
1,10002,Chinatown/Lower East Side,0.06241624728268964,0.12666666666666665,0.36212652536205786,0.05052631578947369,0
2,10003,East Village/Gramercy/Greenwich Village,0.20061939787379768,0.14444444444444443,0.9999999999999998,0.06736842105263158,1
3,10004,Financial District,0.19073285488818084,0.05555555555555555,0.46890729042616025,0.1326315789473684,1
4,10005,Financial District,0.44254191358208517,0.14777777777777779,0.5674888956157522,0.28,1
5,10006,Financial District,0.462731901968375,0.022222222222222213,0.4804301761696141,0.32842105263157895,2
6,10007,TriBeCa,0.05428665018909503,0.2222222222222222,0.6387495088570527,0.018947368421052636,1
7,10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,0.14877460468717432,0.3333333333333333,0.5731987305310067,0.0863157894736842,1
8,10010,Flatiron/Gramercy/Kips Bay,0.15758911289121824,0.048888888888888885,0.675119674080576,0.07789473684210527,1
9,10011,Chelsea,0.10842440665852715,0.06555555555555555,0.6646393557939254,0.05052631578947369,1
10,10012,Greenwich Village/SoHo,0.19436586164795572,0.1111111111111111,0.7877958892311108,0.0863157894736842,1
11,10013,Hudson Square/Little Italy/SoHo/TriBeCa,0.11012179506268427,0.24444444444444444,0.8177970254735136,0.037894736842105266,1
12,10014,Hudson Square/Meatpacking District/West Village,0.1378755844078497,0.2588888888888889,0.7105218648600122,0.06315789473684211,1
13,10016,Kips Bay/Murray Hill/NoMad,0.17846401238795748,0.10555555555555556,0.559150090682552,0.10736842105263159,1
14,10017,East Midtown/Murray Hill,0.03832524344123165,0.16666666666666666,0.46674322569677246,0.02105263157894737,1
15,10018,Hell's Kitchen/Midtown Manhattan,0.25844971859086985,1.0,0.4779677393893608,0.18105263157894738,1
16,10019,Hell's Kitchen/Midtown Manhattan,0.20252523748548285,0.18777777777777777,0.6600111195630582,0.10736842105263159,1
17,10021,Lenox Hill/Upper East Side,0.22914743456121023,0.2,0.6270592225152938,0.12842105263157894,1
18,10022,East Midtown,0.16196658824930762,0.23777777777777778,0.5721414179437829,0.09473684210526317,1
19,10023,Lincoln Square,0.05964682409695959,0.14444444444444443,0.4932506333900875,0.033684210526315796,1
20,10024,Upper West Side,0.13299187040290641,0.07888888888888888,0.6775673657304087,0.06315789473684211,1
21,10025,Manhattan Valley/Morningside Heights/Upper West Side,0.14272951966886038,0.09444444444444444,0.8868363281849696,0.05052631578947369,1
22,10026,Central Harlem (South),0.1520800452636908,0.10333333333333333,0.40550583169908133,0.11789473684210527,0
23,10027,Central Harlem (South)/Morningside Heights/West Harlem,0.17063220273368873,0.1311111111111111,0.6264217124647526,0.09263157894736843,1
24,10028,Upper East Side/Yorkville,0.08534588011077693,0.17333333333333334,0.41797500787129754,0.06315789473684211,1
25,10029,East Harlem,0.16131145588279086,0.10777777777777778,0.31653024529825485,0.1473684210526316,0
26,10030,Central Harlem (North),0.1085137428903249,0.08666666666666666,0.28394350706855526,0.10736842105263159,0
27,10031,Hamilton Heights/West Harlem,0.23123194663649088,0.09666666666666666,0.24746752385024845,0.23789473684210527,0
28,10032,Washington Heights (South),0.1832881689050356,0.06999999999999999,0.3221776302493748,0.16421052631578947,0
29,10033,Washington Heights (North)/Washington Heights (South),0.21256067419076263,0.09888888888888889,0.26438018844276673,0.2126315789473684,0
30,10034,Inwood/Washington Heights (North),0.15342008874065693,0.07444444444444444,0.2290265698576574,0.16631578947368422,0
31,10035,East Harlem,0.06712128882403742,0.1111111111111111,0.4445951724443003,0.04421052631578947,1
32,10036,Hell's Kitchen/Midtown Manhattan,0.16187725201750988,0.15333333333333332,0.6398727408508633,0.08421052631578949,1
33,10037,Central Harlem (North)/East Harlem,0.23441827223727701,0.1111111111111111,0.32143863900711495,0.21052631578947367,0
34,10038,Chinatown/Financial District,0.36470027694231855,0.05333333333333333,0.5456530921839533,0.23578947368421055,1
35,10039,Central Harlem (North)/Washington Heights (South),0.0360620589023555,0.06666666666666665,0.19972626099054308,0.05052631578947369,0
36,10040,Washington Heights (North),0.25171972246210655,0.06555555555555555,0.39273394667293476,0.19999999999999998,0
37,10044,Roosevelt Island,0.09871653613650577,0.1111111111111111,0.44728399034454164,0.06947368421052633,1
38,10065,Lenox Hill/Upper East Side,0.19192400464548406,0.27,0.6929959763141162,0.0968421052631579,1
39,10069,Lincoln Square,0.03999285310145618,0.0,0.7300999286162215,0.006315789473684212,1
40,10075,Lenox Hill/Upper East Side,0.18540245972424885,0.09999999999999999,0.6634666842451751,0.0968421052631579,1
41,10128,Upper East Side/Yorkville,0.08677525981954082,0.10333333333333333,0.48563260512627465,0.054736842105263146,1
